Temperature,Humidity,Wind_Speed,Cloud_Cover,Pressure,Rain
36,82,12,40,1008,N
37,80,10,35,1009,N
35,85,14,45,1007,N
36,83,11,38,1008,N
38,81,13,42,1007,N
37,84,12,37,1008,N
36,82,10,41,1009,N
35,86,11,39,1007,N
37,83,12,36,1008,N
36,84,13,40,1008,N
38,82,11,42,1009,N
37,85,12,38,1008,N
36,83,10,39,1009,N
35,87,11,41,1007,N
37,84,12,37,1008,N
36,86,13,40,1007,N
38,82,11,38,1008,N
37,83,10,42,1009,N
36,85,12,39,1008,N
35,88,13,41,1007,N
37,82,11,40,1008,N
36,84,12,38,1009,N
38,83,10,37,1008,N
37,86,11,39,1007,N
36,85,13,40,1008,N
35,87,12,42,1007,N
38,82,11,38,1009,N
37,84,10,40,1008,N
36,86,12,39,1007,N
37,83,11,41,1008,N
